"Household Income in Chicago Community Areas
Note: All data are adjusted to year 2014 dollars.",,,,,,,
,1970,1980,1990,2000,2008-2012,2009-2013, 2010-2014 
Total,"  29,077 ","  31,781 ","  34,740 ","  35,705 ","  32,194 ","  32,312 ","  32,271 "
"Less than $10,000",,,"  3,982 ","  2,718 ","  2,784 ","  2,694 ","  2,654 "
"$10,000 to $14,999",,,"  1,537 ","  1,147 ","  1,137 ","  1,255 ","  1,267 "
"$15,000 to $19,999",,,"  2,026 ","  1,115 ",  949 ,  986 ,  888 
"$20,000 to $24,999",,,"  2,249 ","  1,025 ",  984 ,  880 ,  778 
"$25,000 to $29,999",,,"  2,522 ","  1,117 ",  513 ,  541 ,  545 
"$30,000 to $34,999",,,"  2,220 ","  1,582 ","  1,033 ","  1,127 ",  999 
"$35,000 to $39,999",,,"  2,303 ","  1,459 ",  817 ,  744 ,  742 
"$40,000 to $44,999",,,"  1,996 ","  1,482 ",  935 ,  990 ,"  1,016 "
"$45,000 to $49,999",,,"  1,610 ","  1,308 ",  771 ,  800 ,  749 
"$50,000 to $59,999",,,"  2,611 ","  2,815 ","  1,737 ","  1,669 ","  1,726 "
"$60,000 to $74,999",,,"  2,944 ","  3,346 ","  2,420 ","  2,736 ","  2,685 "
"$75,000 to $99,999",,,"  2,742 ","  4,048 ","  3,816 ","  3,501 ","  3,653 "
"$100,000 to $124,999",,,"  1,921 ","  3,050 ","  3,098 ","  3,235 ","  3,218 "
"$125,000 to $149,999",,,"  1,208 ","  2,046 ","  2,159 ","  2,154 ","  2,020 "
"$150,000 to $199,999",,,"  2,869 ","  2,558 ","  2,958 ","  3,106 ","  3,258 "
"$200,000 or more",,,,"  4,889 ","  6,083 ","  5,894 ","  6,073 "
Median household income,"$42,216","$55,143","$75,638","$97,522","$89,273","$87,216","$87,694"
,,,,,,,
8. Near North Side,,,,,,,
Total,"  33,106 ","  36,488 ","  37,379 ","  45,547 ","  50,758 ","  52,539 ","  52,964 "
"Less than $10,000",,,"  5,941 ","  4,989 ","  5,292 ","  5,311 ","  5,273 "
"$10,000 to $14,999",,,"  1,913 ","  2,043 ","  1,563 ","  1,680 ","  1,675 "
"$15,000 to $19,999",,,"  1,866 ","  1,740 ","  1,390 ","  1,639 ","  1,447 "
"$20,000 to $24,999",,,"  2,443 ","  1,538 ","  1,138 ","  1,478 ","  1,428 "
"$25,000 to $29,999",,,"  2,399 ","  1,704 ","  1,304 ","  1,203 ","  1,126 "
"$30,000 to $34,999",,,"  2,443 ","  2,018 ","  1,308 ","  1,543 ","  1,644 "
"$35,000 to $39,999",,,"  2,091 ","  2,043 ","  1,158 ","  1,175 ","  1,374 "
"$40,000 to $44,999",,,"  1,924 ","  2,093 ","  1,470 ","  1,446 ","  1,394 "
"$45,000 to $49,999",,,"  1,600 ","  1,768 ","  1,170 ","  1,256 ","  1,109 "
"$50,000 to $59,999",,,"  2,709 ","  3,512 ","  3,584 ","  3,472 ","  3,155 "
"$60,000 to $74,999",,,"  2,601 ","  4,367 ","  4,579 ","  4,486 ","  4,649 "
"$75,000 to $99,999",,,"  2,999 ","  4,591 ","  6,167 ","  6,117 ","  6,399 "
"$100,000 to $124,999",,,"  1,770 ","  3,209 ","  5,186 ","  5,316 ","  5,226 "
"$125,000 to $149,999",,,  941 ,"  2,202 ","  2,209 ","  2,528 ","  2,835 "
"$150,000 to $199,999",,,"  3,739 ","  2,695 ","  4,386 ","  4,455 ","  4,807 "
"$200,000 or more",,,,"  5,035 ","  8,854 ","  9,434 ","  9,423 "
Median household income,"$46,522","$56,600","$71,338","$82,169","$82,118","$81,572","$82,169"
,,,,,,,
9. Edison Park,,,,,,,
Total,"  4,340 ","  4,715 ","  4,713 ","  4,766 ","  4,608 ","  4,597 ","  4,491 "
"Less than $10,000",,,  349 ,  152 ,  116 ,  159 ,  96 
"$10,000 to $14,999",,,  272 ,  136 ,  111 ,  92 ,  91 
"$15,000 to $19,999",,,  359 ,  205 ,  85 ,  110 ,  116 
"$20,000 to $24,999",,,  309 ,  262 ,  269 ,  218 ,  194 
"$25,000 to $29,999",,,  283 ,  195 ,  154 ,  184 ,  99 
"$30,000 to $34,999",,,  267 ,  264 ,  139 ,  214 ,  268 
"$35,000 to $39,999",,,  437 ,  249 ,  133 ,  172 ,  223 
"$40,000 to $44,999",,,  337 ,  292 ,  144 ,  168 ,  144 
"$45,000 to $49,999",,,  319 ,  261 ,  118 ,  142 ,  118 
"$50,000 to $59,999",,,  651 ,  492 ,  383 ,  305 ,  304 
"$60,000 to $74,999",,,  622 ,  674 ,  360 ,  364 ,  422 
"$75,000 to $99,999",,,  343 ,  681 ,  887 ,  817 ,  754 
"$100,000 to $124,999",,,  90 ,  428 ,  603 ,  564 ,  511 
"$125,000 to $149,999",,,  59 ,  197 ,  297 ,  305 ,  290 
"$150,000 to $199,999",,,  16 ,  128 ,  434 ,  457 ,  481 
"$200,000 or more",,,,  150 ,  375 ,  326 ,  380 
Median household income,"$69,240","$71,203","$75,677","$81,134","$83,953","$80,234","$79,342"
,,,,,,,
10. Norwood Park,,,,,,,
Total,"  13,475 ","  14,995 ","  15,184 ","  15,376 ","  14,646 ","  14,356 ","  14,332 "
"Less than $10,000",,,"  1,083 ",  862 ,  565 ,  648 ,  729 
"$10,000 to $14,999",,,"  1,275 ",  644 ,  468 ,  452 ,  455 
"$15,000 to $19,999",,,"  1,125 ",  875 ,  645 ,  667 ,  760 
"$20,000 to $24,999",,,  945 ,  900 ,  623 ,  648 ,  572 
"$25,000 to $29,999",,,"  1,023 ",  729 ,  659 ,  591 ,  575 
"$30,000 to $34,999",,,"  1,104 ",  672 ,  659 ,  553 ,  393 
"$35,000 to $39,999",,,"  1,203 ",  792 ,  685 ,  713 ,  747 
"$40,000 to $44,999",,,"  1,163 ",  911 ,  712 ,  744 ,  528 
"$45,000 to $49,999",,,"  1,009 ",  755 ,  320 ,  395 ,  419 
"$50,000 to $59,999",,,"  1,665 ","  1,430 ","  1,119 ","  1,048 ","  1,010 "
"$60,000 to $74,999",,,"  1,526 ","  1,904 ","  1,407 ","  1,211 ","  1,313 "
"$75,000 to $99,999",,,"  1,256 ","  2,237 ","  2,387 ","  2,435 ","  2,296 "
"$100,000 to $124,999",,,  504 ,"  1,388 ","  1,621 ","  1,420 ","  1,534 "
"$125,000 to $149,999",,,  160 ,  579 ,  903 ,"  1,008 ","  1,068 "
"$150,000 to $199,999",,,  143 ,  436 ,"  1,199 ","  1,037 ","  1,040 "
"$200,000 or more",,,,  262 ,  674 ,  786 ,  893 
Median household income,"$72,975","$72,283","$72,409","$75,902","$70,642","$69,306","$70,578"
,,,,,,,
11. Jefferson Park,,,,,,,
Total,"  9,752 ","  9,914 ","  9,934 ","  10,492 ","  9,943 ","  9,909 ","  10,115 "
"Less than $10,000",,,"  1,010 ",  607 ,  533 ,  489 ,  529 
"$10,000 to $14,999",,,  776 ,  501 ,  491 ,  527 ,  539 
"$15,000 to $19,999",,,  777 ,  593 ,  494 ,  528 ,  559 
"$20,000 to $24,999",,,  732 ,  696 ,  588 ,  512 ,  498 
"$25,000 to $29,999",,,  761 ,  490 ,  487 ,  459 ,  411 
"$30,000 to $34,999",,,  848 ,  598 ,  613 ,  635 ,  662 
"$35,000 to $39,999",,,  647 ,  680 ,  429 ,  410 ,  352 
"$40,000 to $44,999",,,  731 ,  551 ,  275 ,  428 ,  401 
"$45,000 to $49,999",,,  685 ,  567 ,  378 ,  312 ,  325 
"$50,000 to $59,999",,,"  1,003 ",  934 ,  728 ,  629 ,  629 
"$60,000 to $74,999",,,"  1,101 ","  1,382 ","  1,105 ",  928 ,  945 
"$75,000 to $99,999",,,  576 ,"  1,328 ","  1,307 ","  1,263 ","  1,414 "
"$100,000 to $124,999",,,  198 ,  810 ,  941 ,"  1,073 ",  922 
"$125,000 to $149,999",,,  42 ,  292 ,  547 ,  654 ,  735 
"$150,000 to $199,999",,,  47 ,  322 ,  656 ,  707 ,  707 
"$200,000 or more",,,,  141 ,  371 ,  355 ,  487 
Median household income,"$64,020","$63,456","$65,359","$70,555","$61,137","$61,322","$62,021"
,,,,,,,
12. Forest Glen,,,,,,,
Total,"  6,675 ","  6,803 ","  6,858 ","  6,966 ","  6,793 ","  9,641 ","  9,712 "
"Less than $10,000",,,  308 ,  209 ,  320 ,  452 ,  492 
"$10,000 to $14,999",,,  300 ,  279 ,  275 ,  368 ,  279 
"$15,000 to $19,999",,,  343 ,  164 ,  165 ,  186 ,  232 
"$20,000 to $24,999",,,  376 ,  273 ,  206 ,  362 ,  277 
"$25,000 to $29,999",,,  399 ,  319 ,  338 ,  398 ,  443 
"$30,000 to $34,999",,,  387 ,  311 ,  165 ,  315 ,  399 
"$35,000 to $39,999",,,  401 ,  288 ,  210 ,  314 ,  284 
"$40,000 to $44,999",,,  421 ,  312 ,  168 ,  298 ,  303 
"$45,000 to $49,999",,,  395 ,  270 ,  144 ,  274 ,  319 
"$50,000 to $59,999",,,  717 ,  527 ,  307 ,  478 ,  503 
"$60,000 to $74,999",,,  803 ,  873 ,  629 ,  930 ,  900 
"$75,000 to $99,999",,,  903 ,  944 ,  737 ,"  1,064 ",  981 
"$100,000 to $124,999",,,  499 ,  762 ,  596 ,"  1,152 ","  1,056 "
"$125,000 to $149,999",,,  260 ,  467 ,  769 ,  895 ,  935 
"$150,000 to $199,999",,,  346 ,  562 ,  735 ,  928 ,  942 
"$200,000 or more",,,,  406 ,"  1,029 ","  1,227 ","  1,367 "
Median household income,"$88,086","$85,830","$94,465","$97,033","$92,226","$85,317","$84,347"
,,,,,,,
13. North Park,,,,,,,
Total,"  5,314 ","  5,399 ","  5,767 ","  6,515 ","  6,436 ","  6,443 ","  6,476 "
"Less than $10,000",,,  805 ,  685 ,  529 ,  510 ,  598 
"$10,000 to $14,999",,,  392 ,  385 ,  454 ,  334 ,  292 
"$15,000 to $19,999",,,  391 ,  273 ,  469 ,  535 ,  506 
"$20,000 to $24,999",,,  494 ,  396 ,  405 ,  302 ,  392 
"$25,000 to $29,999",,,  336 ,  281 ,  224 ,  151 ,  246 
"$30,000 to $34,999",,,  466 ,  319 ,  234 ,  281 ,  333 
"$35,000 to $39,999",,,  417 ,  347 ,  263 ,  279 ,  256 
"$40,000 to $44,999",,,  332 ,  286 ,  228 ,  177 ,  167 
"$45,000 to $49,999",,,  385 ,  334 ,  168 ,  217 ,  326 
"$50,000 to $59,999",,,  595 ,  636 ,  576 ,  498 ,  471 
"$60,000 to $74,999",,,  459 ,  753 ,  514 ,  572 ,  506 
"$75,000 to $99,999",,,  402 ,  838 ,  838 ,  955 ,  895 
"$100,000 to $124,999",,,  97 ,  414 ,  523 ,  524 ,  463 
"$125,000 to $149,999",,,  100 ,  198 ,  297 ,  347 ,  280 
"$150,000 to $199,999",,,  96 ,  193 ,  337 ,  448 ,  470 
"$200,000 or more",,,,  177 ,  377 ,  313 ,  275 
Median household income,"$70,622","$66,405","$64,531","$69,941","$55,474","$59,511","$52,283"
,,,,,,,
14. Albany Park,,,,,,,
Total,"  16,617 ","  16,272 ","  15,744 ","  17,090 ","  16,804 ","  16,609 ","  16,426 "
"Less than $10,000",,,"  2,276 ","  1,766 ","  1,271 ","  1,274 ","  1,194 "
"$10,000 to $14,999",,,"  1,596 ","  1,131 ","  1,134 ","  1,006 ",  877 
"$15,000 to $19,999",,,"  1,628 ","  1,176 ","  1,198 ","  1,058 ",  806 
"$20,000 to $24,999",,,"  1,693 ",  983 ,"  1,178 ","  1,029 ","  1,141 "
"$25,000 to $29,999",,,"  1,383 ","  1,139 ",  990 ,  968 ,  947 
"$30,000 to $34,999",,,"  1,214 ","  1,138 ",  622 ,  760 ,  706 
"$35,000 to $39,999",,,"  1,189 ","  1,050 ",  679 ,  678 ,  724 
"$40,000 to $44,999",,,  986 ,"  1,027 ",  840 ,  734 ,  627 
"$45,000 to $49,999",,,  802 ,"  1,005 ",  855 ,  786 ,  772 
"$50,000 to $59,999",,,"  1,202 ","  1,708 ","  1,297 ","  1,349 ","  1,383 "
"$60,000 to $74,999",,,  969 ,"  1,818 ","  1,669 ","  1,683 ","  1,804 "
"$75,000 to $99,999",,,  562 ,"  1,602 ","  2,003 ","  2,036 ","  1,908 "
"$100,000 to $124,999",,,  193 ,  688 ,"  1,151 ","  1,266 ","  1,261 "
"$125,000 to $149,999",,,  15 ,  377 ,  597 ,  473 ,  686 
"$150,000 to $199,999",,,  36 ,  199 ,  705 ,  736 ,  815 
"$200,000 or more",,,,  283 ,  615 ,  773 ,  775 
Median household income,"$53,358","$50,271","$50,317","$57,864","$49,224","$50,891","$52,666"
,,,,,,,
15. Portage Park,,,,,,,
Total,"  22,603 ","  22,760 ","  22,683 ","  23,731 ","  22,505 ","  22,493 ","  22,489 "
"Less than $10,000",,,"  2,408 ","  1,569 ","  1,424 ","  1,453 ","  1,573 "
"$10,000 to $14,999",,,"  1,945 ","  1,301 ",  936 ,  964 ,  971 
"$15,000 to $19,999",,,"  2,067 ","  1,456 ","  1,160 ","  1,084 ","  1,107 "
"$20,000 to $24,999",,,"  2,135 ","  1,266 ","  1,211 ","  1,207 ","  1,252 "
"$25,000 to $29,999",,,"  1,891 ","  1,719 ","  1,157 ","  1,193 ","  1,000 "
"$30,000 to $34,999",,,"  1,629 ","  1,647 ","  1,355 ","  1,537 ","  1,395 "
"$35,000 to $39,999",,,"  1,822 ","  1,447 ","  1,188 ","  1,105 ",  911 
"$40,000 to $44,999",,,"  1,867 ","  1,430 ","  1,197 ","  1,063 ","  1,020 "
"$45,000 to $49,999",,,"  1,320 ","  1,174 ",  967 ,"  1,037 ",  998 
"$50,000 to $59,999",,,"  2,185 ","  2,364 ","  1,706 ","  1,694 ","  1,950 "
"$60,000 to $74,999",,,"  1,722 ","  2,829 ","  2,767 ","  2,664 ","  2,633 "
"$75,000 to $99,999",,,"  1,171 ","  3,012 ","  3,076 ","  3,006 ","  3,106 "
"$100,000 to $124,999",,,  337 ,"  1,374 ","  2,023 ","  2,102 ","  2,068 "
"$125,000 to $149,999",,,  66 ,  548 ,  887 ,  952 ,  940 
"$150,000 to $199,999",,,  118 ,  356 ,"  1,038 ",  986 ,"  1,094 "
"$200,000 or more",,,,  239 ,  413 ,  446 ,  471 
Median household income,"$59,611","$57,002","$59,399","$64,126","$55,127","$54,056","$54,773"
,,,,,,,
16. Irving Park,,,,,,,
Total,"  20,741 ","  20,489 ","  19,554 ","  20,900 ","  20,177 ","  20,302 ","  20,313 "
"Less than $10,000",,,"  2,510 ","  1,500 ","  1,077 ","  1,233 ","  1,301 "
"$10,000 to $14,999",,,"  1,774 ","  1,092 ","  1,081 ","  1,113 ",  917 
"$15,000 to $19,999",,,"  2,122 ","  1,179 ","  1,072 ","  1,070 ","  1,015 "
"$20,000 to $24,999",,,"  1,834 ","  1,437 ","  1,007 ","  1,085 ","  1,168 "
"$25,000 to $29,999",,,"  1,943 ","  1,666 ","  1,456 ","  1,327 ","  1,202 "
"$30,000 to $34,999",,,"  1,871 ","  1,594 ","  1,307 ","  1,478 ","  1,220 "
"$35,000 to $39,999",,,"  1,523 ","  1,358 ",  821 ,  935 ,"  1,289 "
"$40,000 to $44,999",,,"  1,216 ","  1,423 ","  1,069 ","  1,154 ","  1,113 "
"$45,000 to $49,999",,,"  1,090 ","  1,179 ","  1,042 ","  1,228 ","  1,207 "
"$50,000 to $59,999",,,"  1,313 ","  2,161 ","  1,355 ","  1,303 ","  1,531 "
"$60,000 to $74,999",,,"  1,196 ","  2,374 ","  1,950 ","  1,714 ","  1,693 "
"$75,000 to $99,999",,,  731 ,"  1,847 ","  2,602 ","  2,319 ","  2,470 "
"$100,000 to $124,999",,,  247 ,"  1,057 ","  1,442 ","  1,464 ","  1,463 "
"$125,000 to $149,999",,,  67 ,  551 ,  799 ,  787 ,  975 
"$150,000 to $199,999",,,  117 ,  218 ,  939 ,  871 ,  878 
"$200,000 or more",,,,  264 ,"  1,158 ","  1,221 ",  871 
Median household income,"$53,860","$50,572","$53,140","$59,749","$52,587","$48,728","$48,758"
,,,,,,,
17. Dunning,,,,,,,
Total,"  13,985 ","  13,879 ","  14,074 ","  15,561 ","  15,141 ","  15,172 ","  15,301 "
"Less than $10,000",,,"  1,475 ",  837 ,  910 ,  884 ,  815 
"$10,000 to $14,999",,,"  1,131 ",  715 ,  704 ,  653 ,  625 
"$15,000 to $19,999",,,  949 ,  837 ,  714 ,  746 ,  746 
"$20,000 to $24,999",,,"  1,166 ",  910 ,  760 ,  798 ,  812 
"$25,000 to $29,999",,,  976 ,  759 ,  538 ,  630 ,  601 
"$30,000 to $34,999",,,"  1,197 ",  950 ,  645 ,  695 ,  864 
"$35,000 to $39,999",,,"  1,209 ",  896 ,  661 ,  662 ,  597 
"$40,000 to $44,999",,,  971 ,"  1,065 ",  718 ,  739 ,  850 
"$45,000 to $49,999",,,  888 ,  917 ,  639 ,  627 ,  545 
"$50,000 to $59,999",,,"  1,572 ","  1,688 ","  1,104 ","  1,106 ","  1,055 "
"$60,000 to $74,999",,,"  1,269 ","  1,964 ","  1,848 ","  1,865 ","  1,783 "
"$75,000 to $99,999",,,  923 ,"  2,170 ","  2,410 ","  2,373 ","  2,318 "
