,0,4,neighborhood,code
395,2016,48,South Shore,43
396,2016,63,Old Town,8
397,2016,25,Belmont Cragin,19
398,2016,34,South Chicago,46
399,2016,71,Chicago Lawn,66
400,2016,45,South Deering,51
401,2016,39,Garfield Park,27
402,2016,61,North Lawndale,29
403,2016,38,Chicago Lawn,66
404,2016,85,Sheffield & DePaul,7
405,2016,64,"Little Italy, UIC",28
406,2016,76,Bridgeport,60
407,2016,57,Little Village,30
408,2016,34,Woodlawn,42
409,2016,76,Chatham,44
410,2016,53,Chicago Lawn,66
411,2016,61,Belmont Cragin,19
412,2016,55,Lincoln Square,4
413,2016,95,West Town,24
414,2016,50,Logan Square,22
415,2016,76,Humboldt Park,23
416,2016,71,Chicago Lawn,66
417,2016,63,Lake View,6
418,2016,71,Bridgeport,60
419,2016,88,Mount Greenwood,74
420,2016,93,Norwood Park,10
421,2016,76,Mount Greenwood,74
422,2016,59,Washington Heights,73
423,2016,93,Clearing,64
424,2016,53,Logan Square,22
425,2016,67,Irving Park,16
426,2016,67,Hyde Park,41
427,2016,75,West Pullman,53
428,2016,70,Austin,25
429,2016,25,Chatham,44
430,2016,69,Boystown,6
431,2016,57,Old Town,8
432,2016,71,Gage Park,63
433,2016,65,Hermosa,20
434,2016,65,Humboldt Park,23
435,2016,69,Norwood Park,10
436,2016,53,Humboldt Park,23
437,2016,53,Rush & Division,8
438,2016,26,Auburn Gresham,71
439,2016,61,South Shore,43
440,2016,76,Norwood Park,10
441,2016,72,Norwood Park,10
442,2016,46,Humboldt Park,23
443,2016,65,West Town,24
444,2016,53,Englewood,68
445,2016,76,Ashburn,70
446,2016,31,Douglas,35
447,2016,63,Albany Park,14
448,2016,50,Englewood,68
449,2016,67,Grand Crossing,69
450,2016,60,South Shore,43
451,2016,59,West Elsdon,62
452,2016,61,West Elsdon,62
453,2016,57,"Little Italy, UIC",28
454,2016,72,Andersonville,77
455,2016,59,North Lawndale,29
456,2016,50,Burnside,47
457,2016,80,Lower West Side,31
458,2016,53,Douglas,35
459,2016,59,North Park,13
460,2016,68,Washington Heights,73
461,2016,61,Lower West Side,31
462,2016,57,Chatham,44
463,2016,59,North Lawndale,29
464,2016,78,Pullman,50
465,2016,75,Humboldt Park,23
466,2016,46,Portage Park,15
467,2016,84,Lincoln Park,7
468,2016,46,Portage Park,15
469,2016,67,Bucktown,22
470,2016,57,Pullman,50
471,2016,76,Lake View,6
472,2016,53,Hyde Park,41
473,2016,53,Kenwood,39
474,2016,57,Avondale,21
475,2016,67,Portage Park,15
476,2016,32,Grand Crossing,69
477,2016,80,West Ridge,2
478,2016,69,New City,61
479,2016,65,Grand Crossing,69
480,2016,75,Auburn Gresham,71
481,2016,90,"Sauganash,Forest Glen",12
482,2016,46,Gage Park,63
483,2016,26,Galewood,25
484,2016,69,Irving Park,16
485,2016,96,Edison Park,9
486,2016,72,Belmont Cragin,19
487,2016,53,New City,61
488,2016,75,Brighton Park,58
489,2016,50,South Chicago,46
490,2016,70,New City,61
491,2016,82,Englewood,68
492,2016,70,Brighton Park,58
493,2016,73,Kenwood,39
494,2016,46,Morgan Park,75
495,2016,76,West Loop,32
496,2016,47,Pullman,50
497,2016,65,Portage Park,15
498,2016,37,"Little Italy, UIC",28
499,2016,72,North Park,13
500,2016,32,Austin,25
501,2016,53,Little Village,30
502,2016,75,Ashburn,70
503,2016,69,Roseland,49
504,2016,72,West Ridge,2
505,2016,53,Humboldt Park,23
506,2016,53,South Chicago,46
507,2016,73,Garfield Park,27
508,2016,38,Beverly,72
509,2016,57,Edgewater,77
510,2016,65,West Town,24
511,2016,30,East Side,52
512,2016,67,West Pullman,53
513,2016,40,South Chicago,46
514,2016,65,Dunning,17
515,2016,63,Garfield Park,27
516,2016,60,Gage Park,63
517,2016,78,Garfield Ridge,56
518,2016,69,Beverly,72
519,2016,69,Roseland,49
520,2016,50,Albany Park,14
521,2016,76,Albany Park,14
522,2016,73,Woodlawn,42
523,2016,71,Little Village,30
524,2016,48,Lower West Side,31
525,2016,65,Armour Square,34
526,2016,67,Calumet Heights,48
527,2016,65,East Side,52
528,2016,65,Lincoln Square,4
529,2016,77,Garfield Park,27
530,2016,62,Englewood,68
531,2016,82,West Pullman,53
532,2016,52,Gage Park,63
533,2016,40,Little Village,30
534,2016,40,Lower West Side,31
535,2016,55,Wicker Park,24
536,2016,73,"Sauganash,Forest Glen",12
537,2016,65,Near South Side,33
538,2016,59,Logan Square,22
539,2016,50,Austin,25
540,2016,46,Grand Boulevard,38
541,2016,59,Englewood,68
542,2016,44,New City,61
543,2016,71,Uptown,3
544,2016,47,Austin,25
545,2016,44,Austin,25
546,2016,57,Washington Park,40
547,2016,55,Dunning,17
548,2016,80,Gage Park,63
549,2016,59,River North,8
550,2016,57,Garfield Park,27
551,2016,48,United Center,28
552,2016,51,North Lawndale,29
553,2016,50,Oakland,36
554,2016,51,Humboldt Park,23
555,2016,22,Grand Crossing,69
556,2016,36,Chatham,44
557,2016,84,Uptown,3
558,2016,75,Garfield Park,27
559,2016,55,North Lawndale,29
560,2016,30,Grand Boulevard,38
561,2016,63,Grand Crossing,69
562,2016,68,South Shore,43
563,2016,69,Austin,25
564,2016,52,Rogers Park,1
565,2016,71,Ashburn,70
566,2016,53,Englewood,68
567,2016,67,West Lawn,65
568,2016,50,Garfield Park,27
569,2016,50,West Pullman,53
570,2016,57,Chatham,44
571,2016,50,Englewood,68
572,2016,48,Chatham,44
573,2016,69,United Center,28
574,2016,25,Austin,25
575,2016,93,United Center,28
576,2016,82,Calumet Heights,48
577,2016,26,Wicker Park,24
578,2016,60,West Pullman,53
579,2016,75,Calumet Heights,48
580,2016,42,Brighton Park,58
581,2016,84,Mckinley Park,59
582,2016,53,Irving Park,16
583,2016,59,South Chicago,46
584,2016,50,Avondale,21
585,2016,36,Lower West Side,31
586,2016,38,Garfield Park,27
587,2016,38,Englewood,68
588,2016,48,Dunning,17
589,2016,63,Wicker Park,24
590,2016,48,Grand Boulevard,38
591,2016,61,Chicago Lawn,66
592,2016,48,Calumet Heights,48
593,2016,69,Ashburn,70
594,2016,73,Brighton Park,58
595,2016,42,Albany Park,14
596,2016,50,Uptown,3
597,2016,59,Little Village,30
598,2016,76,Washington Heights,73
599,2016,53,Uptown,3
600,2016,61,Riverdale,54
601,2016,73,Washington Heights,73
602,2016,65,Austin,25
603,2016,32,Roseland,49
604,2016,36,Auburn Gresham,71
605,2016,50,Grand Boulevard,38
606,2016,46,Grand Boulevard,38
607,2016,51,Little Village,30
608,2016,73,Little Village,30
609,2016,60,Little Village,30
610,2016,72,New City,61
611,2016,42,Humboldt Park,23
612,2016,62,Edgewater,77
613,2016,78,Englewood,68
614,2016,65,Little Village,30
615,2016,50,Uptown,3
616,2016,51,Chicago Lawn,66
617,2016,86,North Center,5
618,2016,50,United Center,28
619,2016,32,North Lawndale,29
620,2016,59,North Lawndale,29
621,2016,75,Mckinley Park,59
622,2016,22,Englewood,68
623,2016,59,Armour Square,34
624,2016,77,Irving Park,16
625,2016,26,Austin,25
626,2016,65,East Village,24
627,2016,81,Englewood,68
628,2016,76,Norwood Park,10
629,2016,61,North Center,5
630,2016,55,West Town,24
631,2016,51,South Shore,43
632,2016,67,Gage Park,63
633,2016,55,Belmont Cragin,19
634,2016,86,River North,8
635,2016,50,Belmont Cragin,19
636,2016,59,Avondale,21
637,2016,73,West Ridge,2
638,2016,63,Gage Park,63
639,2016,51,West Lawn,65
640,2016,52,South Shore,43
641,2016,65,"Little Italy, UIC",28
642,2016,36,Austin,25
643,2016,58,Ashburn,70
644,2016,44,Ashburn,70
645,2016,51,Brighton Park,58
646,2016,70,United Center,28
647,2016,75,New City,61
648,2016,65,Irving Park,16
649,2016,16,Englewood,68
650,2016,37,North Lawndale,29
651,2016,37,Morgan Park,75
652,2016,43,Avondale,21
653,2016,40,Edison Park,9
654,2016,40,Chicago Lawn,66
655,2016,36,"Little Italy, UIC",28
656,2016,50,South Shore,43
657,2016,25,South Shore,43
658,2016,50,Ukrainian Village,24
659,2016,40,Englewood,68
660,2017,27,Douglas,35
661,2017,86,Logan Square,22
662,2017,33,Riverdale,54
663,2017,65,United Center,28
664,2017,37,Douglas,35
665,2017,50,Loop,32
666,2017,44,Rogers Park,1
667,2017,75,New City,61
668,2017,63,Englewood,68
669,2017,55,Garfield Park,27
670,2017,66,United Center,28
671,2017,47,Chatham,44
672,2017,70,Hyde Park,41
673,2017,75,West Elsdon,62
674,2017,57,Wicker Park,24
675,2017,50,Ashburn,70
676,2017,78,Chicago Lawn,66
677,2017,70,Lake View,6
678,2017,61,Hermosa,20
679,2017,53,South Shore,43
680,2017,60,North Lawndale,29
681,2017,62,Archer Heights,57
682,2017,63,Mckinley Park,59
683,2017,68,Austin,25
684,2017,42,Irving Park,16
685,2017,88,North Center,5
686,2017,30,Englewood,68
687,2017,70,Little Village,30
688,2017,53,Dunning,17
689,2017,82,Belmont Cragin,19
690,2017,78,Kenwood,39
691,2017,63,Englewood,68
692,2017,50,Kenwood,39
693,2017,63,Englewood,68
694,2017,57,Logan Square,22
695,2017,71,Albany Park,14
696,2017,51,Little Village,30
697,2017,71,Woodlawn,42
698,2017,67,Rogers Park,1
699,2017,34,Douglas,35
700,2017,72,Irving Park,16
701,2017,80,Irving Park,16
702,2017,59,Brighton Park,58
703,2017,30,Gage Park,63
704,2017,90,Mount Greenwood,74
705,2017,35,Englewood,68
706,2017,57,Garfield Ridge,56
707,2017,80,"Little Italy, UIC",28
708,2017,75,Garfield Ridge,56
709,2017,0,Austin,25
710,2017,67,Dunning,17
711,2017,80,Wicker Park,24
712,2017,40,New City,61
713,2017,72,Garfield Park,27
714,2017,78,River North,8
715,2017,46,Chicago Lawn,66
716,2017,40,Lower West Side,31
717,2017,77,Grand Crossing,69
718,2017,51,Douglas,35
719,2017,25,Chicago Lawn,66
720,2017,53,Grand Crossing,69
721,2017,59,Albany Park,14
722,2017,53,New City,61
723,2017,70,Rogers Park,1
724,2017,60,Roseland,49
725,2017,53,Pullman,50
726,2017,63,Uptown,3
727,2017,71,New City,61
728,2017,90,"Little Italy, UIC",28
729,2017,62,Auburn Gresham,71
730,2017,36,North Lawndale,29
731,2017,70,Hyde Park,41
732,2017,75,Washington Heights,73
733,2017,50,Washington Park,40
734,2017,65,Garfield Ridge,56
735,2017,90,Mckinley Park,59
736,2017,73,Austin,25
737,2017,60,"Little Italy, UIC",28
738,2017,64,Woodlawn,42
739,2017,69,West Town,24
740,2017,59,New City,61
741,2017,80,Garfield Park,27
742,2017,55,Garfield Park,27
743,2017,78,North Lawndale,29
744,2017,65,Irving Park,16
745,2017,54,Washington Heights,73
746,2017,56,Austin,25
747,2017,70,Lincoln Square,4
748,2017,69,Gage Park,63
749,2017,64,South Chicago,46
750,2017,56,Austin,25
751,2017,90,Logan Square,22
752,2017,88,Lake View,6
753,2017,60,East Village,24
754,2017,53,New City,61
755,2017,70,New City,61
756,2017,62,North Lawndale,29
757,2017,90,Lower West Side,31
758,2017,26,Little Village,30
759,2017,40,Brighton Park,58
760,2017,87,"Sauganash,Forest Glen",12
761,2017,46,New City,61
762,2017,55,Garfield Park,27
763,2017,65,West Pullman,53
764,2017,55,South Shore,43
765,2017,82,"Sauganash,Forest Glen",12
766,2017,75,West Ridge,2
767,2017,53,Andersonville,77
768,2017,69,Grand Boulevard,38
769,2017,66,West Pullman,53
770,2017,73,West Pullman,53
771,2017,63,Avalon Park,45
772,2017,30,Roseland,49
773,2017,67,New City,61
774,2017,62,Gage Park,63
775,2017,52,Gage Park,63
776,2017,36,Edison Park,9
777,2017,76,Sheffield & DePaul,7
778,2017,65,Old Town,8
779,2017,63,Chicago Lawn,66
780,2017,86,Riverdale,54
781,2017,47,Pullman,50
782,2017,48,New City,61
783,2017,80,West Ridge,2
784,2017,73,Calumet Heights,48
785,2017,42,West Pullman,53
786,2017,48,Ashburn,70
787,2017,55,Grand Crossing,69
788,2017,45,Auburn Gresham,71
789,2017,87,United Center,28
790,2017,65,Englewood,68
791,2017,84,South Chicago,46
792,2017,63,Roseland,49
793,2017,50,Uptown,3
794,2017,72,Englewood,68
795,2017,65,Uptown,3
796,2017,62,Belmont Cragin,19
797,2017,100,Norwood Park,10
798,2017,48,Lower West Side,31
799,2017,80,North Park,13
800,2017,82,Lincoln Park,7
801,2017,55,South Shore,43
802,2017,57,Mckinley Park,59
803,2017,43,North Lawndale,29
804,2017,55,Archer Heights,57
805,2017,87,Edison Park,9
806,2017,71,Roseland,49
807,2017,63,Woodlawn,42
808,2017,72,Little Village,30
809,2017,62,Burnside,47
810,2017,87,Printers Row,32
811,2017,81,Morgan Park,75
812,2017,57,Brighton Park,58
813,2017,27,New City,61
814,2017,88,North Park,13
815,2017,50,Lower West Side,31
816,2017,46,Lake View,6
817,2017,80,Gage Park,63
818,2017,60,Grand Crossing,69
819,2017,48,Albany Park,14
820,2017,75,Kenwood,39
821,2017,22,"Little Italy, UIC",28
822,2017,55,Portage Park,15
823,2017,84,Austin,25
824,2017,64,Gage Park,63
825,2017,55,Bucktown,22
826,2017,72,Little Village,30
827,2017,63,Roseland,49
828,2017,61,Garfield Park,27
829,2017,65,North Lawndale,29
830,2017,70,Clearing,64
831,2017,34,Little Village,30
832,2017,48,"Little Italy, UIC",28
833,2017,87,Loop,32
834,2017,80,River North,8
835,2017,61,South Deering,51
836,2017,69,Morgan Park,75
837,2017,47,Beverly,72
838,2017,92,West Loop,32
839,2017,67,Bucktown,22
840,2017,71,Brighton Park,58
841,2017,76,Jefferson Park,11
842,2017,50,Pullman,50
843,2017,67,Kenwood,39
844,2017,83,"Little Italy, UIC",28
845,2017,80,Lake View,6
846,2017,80,West Loop,32
847,2017,50,Gage Park,63
848,2017,50,Douglas,35
849,2017,78,Garfield Park,27
850,2017,90,West Ridge,2
851,2017,34,Roseland,49
852,2017,72,East Side,52
853,2017,50,Douglas,35
854,2017,55,Uptown,3
855,2017,30,Garfield Park,27
856,2017,70,Englewood,68
857,2017,59,Morgan Park,75
858,2017,51,Douglas,35
859,2017,63,West Town,24
860,2017,70,Little Village,30
861,2017,15,North Lawndale,29
862,2017,61,Austin,25
863,2017,65,Auburn Gresham,71
864,2017,70,Humboldt Park,23
865,2017,75,River North,8
866,2017,78,Austin,25
867,2017,75,Irving Park,16
868,2017,62,Edgewater,77
869,2017,67,Little Village,30
870,2017,78,Garfield Park,27
871,2017,80,Dunning,17
872,2017,57,Pullman,50
873,2017,65,Wicker Park,24
874,2017,85,Calumet Heights,48
875,2017,73,Washington Heights,73
876,2017,76,Chatham,44
877,2017,80,Lake View,6
878,2017,70,Avalon Park,45
879,2017,40,Englewood,68
880,2017,67,Chatham,44
881,2017,45,Grand Boulevard,38
882,2017,67,Austin,25
883,2017,80,United Center,28
884,2017,35,Little Village,30
885,2017,57,Humboldt Park,23
886,2017,80,New City,61
887,2017,50,Humboldt Park,23
888,2017,61,Woodlawn,42
889,2017,51,Pullman,50
890,2017,75,West Town,24
891,2017,35,Humboldt Park,23
892,2017,65,Norwood Park,10
893,2017,46,River North,8
894,2017,39,Humboldt Park,23
895,2017,63,Garfield Park,27
896,2017,70,Norwood Park,10
897,2017,65,Washington Heights,73
898,2017,60,North Center,5
899,2017,44,Auburn Gresham,71
900,2017,51,Chicago Lawn,66
901,2017,62,South Chicago,46
902,2017,60,Englewood,68
903,2017,87,North Park,13
904,2017,55,South Chicago,46
905,2017,50,Lower West Side,31
906,2017,79,Portage Park,15
