,community,2012_crime,2013_crime,2014_crime,2015_crime,2016_crime
66,67,12447.24229200922,11770.88226354667,9707.477954813892,8786.112063756647,10148.858928161488
67,68,13267.03873293387,12302.221454383389,11097.111843381079,10614.611519134063,10552.63876178093
68,69,11828.552865413923,10725.105448924296,9183.578846968892,9694.696470508614,10189.08794900609
69,70,3479.908362413216,3472.1804185398328,2917.480410174777,2536.487407212568,3466.0022106186298
70,71,8313.955946391738,7927.01905017385,7386.252152870292,7251.303972270982,7501.350378106203
71,72,3385.533336048512,2725.412154309742,2285.619298938232,2623.983206507479,2545.1768897938573
72,73,7094.450683498958,7109.227871939522,5720.987556156187,5189.781610121639,5669.239880733479
73,74,1666.005139025265,1439.3816916906965,1505.0358813052735,1378.0909540029636,1267.0848739146654
74,75,5947.945255275377,5372.73337810609,4545.623905510587,4456.916474083776,3979.0205781759832
75,76,5899.659337256158,5617.112957833248,5070.357907617022,5176.345393736704,5643.699002719849
76,77,3139.8052923503888,2603.1642948744297,2099.531430298933,2119.8714664928093,2334.565883708477
