,date,value,community
378,2013-01-01,62000,45
379,2013-02-01,95000,45
380,2013-03-01,95000,45
381,2013-04-01,85000,45
382,2013-05-01,133000,45
383,2013-06-01,133000,45
384,2013-07-01,139500,45
385,2013-08-01,105000,45
386,2013-09-01,105000,45
387,2013-10-01,56000,45
388,2013-11-01,86000,45
389,2013-12-01,70000,45
390,2014-01-01,70000,45
391,2014-02-01,83500,45
392,2014-03-01,147250,45
393,2014-04-01,146500,45
394,2014-05-01,133000,45
395,2014-06-01,118000,45
396,2014-07-01,144000,45
397,2014-08-01,155250,45
398,2014-09-01,144000,45
399,2014-10-01,123500,45
400,2014-11-01,127750,45
401,2014-12-01,114500,45
402,2015-01-01,150000,45
403,2015-02-01,153000,45
404,2015-03-01,151500,45
405,2015-04-01,122500,45
406,2015-05-01,101000,45
407,2015-06-01,79750,45
408,2015-07-01,79750,45
409,2015-08-01,68700,45
410,2015-09-01,105500,45
411,2015-10-01,105500,45
412,2015-11-01,144500,45
413,2015-12-01,156000,45
414,2016-01-01,182000,45
415,2016-02-01,169000,45
416,2016-03-01,169000,45
417,2016-04-01,149000,45
418,2016-05-01,168000,45
419,2016-06-01,187750,45
420,2016-07-01,176750,45
421,2016-08-01,161000,45
422,2016-09-01,139000,45
423,2016-10-01,155000,45
424,2016-11-01,165000,45
425,2016-12-01,175000,45
426,2017-01-01,175000,45
427,2012-01-01,190000,21
428,2012-02-01,160000,21
429,2012-03-01,117000,21
430,2012-04-01,140000,21
431,2012-05-01,180000,21
432,2012-06-01,195000,21
433,2012-07-01,169500,21
434,2012-08-01,170000,21
435,2012-09-01,173500,21
436,2012-10-01,195000,21
437,2012-11-01,185000,21
438,2012-12-01,190000,21
439,2013-01-01,179000,21
440,2013-02-01,148500,21
441,2013-03-01,142750,21
442,2013-04-01,155000,21
443,2013-05-01,190000,21
444,2013-06-01,210000,21
445,2013-07-01,260000,21
446,2013-08-01,282000,21
447,2013-09-01,265000,21
448,2013-10-01,253000,21
449,2013-11-01,237500,21
450,2013-12-01,230000,21
451,2014-01-01,252000,21
452,2014-02-01,243500,21
453,2014-03-01,250000,21
454,2014-04-01,250550,21
455,2014-05-01,229000,21
456,2014-06-01,260000,21
457,2014-07-01,251500,21
458,2014-08-01,320000,21
459,2014-09-01,339000,21
460,2014-10-01,395000,21
461,2014-11-01,334000,21
462,2014-12-01,310000,21
463,2015-01-01,282000,21
464,2015-02-01,283500,21
465,2015-03-01,245000,21
466,2015-04-01,257500,21
467,2015-05-01,295250,21
468,2015-06-01,317000,21
469,2015-07-01,305000,21
470,2015-08-01,278750,21
471,2015-09-01,312250,21
472,2015-10-01,320000,21
473,2015-11-01,317500,21
474,2015-12-01,268000,21
475,2016-01-01,270000,21
476,2016-02-01,285000,21
477,2016-03-01,279000,21
478,2016-04-01,274750,21
479,2016-05-01,250000,21
480,2016-06-01,280000,21
481,2016-07-01,341250,21
482,2016-08-01,366250,21
483,2016-09-01,366000,21
484,2016-10-01,320500,21
485,2016-11-01,334500,21
486,2016-12-01,335000,21
487,2017-01-01,376500,21
488,2012-01-01,116000,19
489,2012-02-01,125000,19
490,2012-03-01,134500,19
491,2012-04-01,140000,19
492,2012-05-01,135000,19
493,2012-06-01,117750,19
494,2012-07-01,120000,19
495,2012-08-01,115500,19
496,2012-09-01,123000,19
497,2012-10-01,130000,19
498,2012-11-01,131000,19
499,2012-12-01,134500,19
500,2013-01-01,133000,19
501,2013-02-01,128250,19
502,2013-03-01,125000,19
503,2013-04-01,120000,19
504,2013-05-01,130500,19
505,2013-06-01,131500,19
506,2013-07-01,126000,19
507,2013-08-01,130000,19
508,2013-09-01,138000,19
509,2013-10-01,155500,19
510,2013-11-01,144149,19
511,2013-12-01,148000,19
512,2014-01-01,132500,19
513,2014-02-01,160000,19
514,2014-03-01,160000,19
515,2014-04-01,160000,19
516,2014-05-01,145000,19
517,2014-06-01,148000,19
518,2014-07-01,149500,19
519,2014-08-01,170000,19
520,2014-09-01,172500,19
521,2014-10-01,192250,19
522,2014-11-01,187500,19
523,2014-12-01,179500,19
524,2015-01-01,175000,19
525,2015-02-01,178500,19
526,2015-03-01,188250,19
527,2015-04-01,197500,19
528,2015-05-01,175000,19
529,2015-06-01,177500,19
