date,community,income
2015,33,74782
2015,34,25717
2015,35,29801
2015,36,29091
2015,37,17424
2015,38,29256
2015,39,40020
2015,40,20053
2015,41,47569
2015,42,24695
2015,43,20392
2015,44,37456
2015,45,41230
2015,46,26468
2015,47,23060
2015,48,45701
2015,49,36401
2015,50,29239
2015,51,34043
2015,52,43446
2015,53,23582
2015,54,14936
2015,55,54959
2015,56,60598
2015,57,39448
2015,58,31291
2015,59,41916
2015,60,35644
2015,61,25860
2015,62,40358
2015,63,35484
2015,64,63789
2015,65,48376
2015,66,28282
2015,67,26499
2015,68,17619
2015,69,19788
2015,70,59263
2015,71,27341
2015,72,95835
2015,73,37592
2015,74,85767
2015,75,58494
2015,76,38198
2015,77,45306
2016,1,32509
2016,2,50331
2016,3,43157
2016,4,62272
2016,5,94865
2016,6,78846
2016,7,84536
2016,8,82271
2016,9,70120
2016,10,70450
2016,11,63789
2016,12,68589
2016,13,45901
2016,14,59550
2016,15,54065
2016,16,41100
2016,17,56727
2016,18,35769
2016,19,42337
2016,20,27215
2016,21,37818
2016,22,59751
2016,23,35569
2016,24,70502
2016,25,28455
2016,26,25730
2016,27,14567
2016,28,73535
2016,29,21511
2016,30,26365
2016,31,30887
2016,32,105096
2016,33,74985
2016,34,26426
2016,35,28939
2016,36,30517
2016,37,17709
2016,38,28893
2016,39,40163
2016,40,19385
2016,41,47211
2016,42,24110
2016,43,18235
2016,44,38659
2016,45,40116
2016,46,25474
2016,47,22270
2016,48,43471
2016,49,35883
2016,50,26261
2016,51,34226
2016,52,43385
2016,53,20099
2016,54,15055
2016,55,56643
2016,56,60241
2016,57,38579
2016,58,29833
2016,59,41765
2016,60,33623
2016,61,24242
2016,62,38852
2016,63,34721
2016,64,64978
2016,65,48237
2016,66,26843
2016,67,26380
2016,68,17244
2016,69,17734
2016,70,57284
2016,71,26455
2016,72,97367
2016,73,36605
2016,74,85073
2016,75,57585
2016,76,36511
2016,77,45599
