,date,value,community
170,2014-03-01,80500,Auburn Gresham
171,2014-04-01,63500,Auburn Gresham
172,2014-05-01,68450,Auburn Gresham
173,2014-06-01,92500,Auburn Gresham
174,2014-07-01,115000,Auburn Gresham
175,2014-08-01,117000,Auburn Gresham
176,2014-09-01,115000,Auburn Gresham
177,2014-10-01,127500,Auburn Gresham
178,2014-11-01,135000,Auburn Gresham
179,2014-12-01,127500,Auburn Gresham
180,2015-01-01,129000,Auburn Gresham
181,2015-02-01,119000,Auburn Gresham
182,2015-03-01,109000,Auburn Gresham
183,2015-04-01,119000,Auburn Gresham
184,2015-05-01,124750,Auburn Gresham
185,2015-06-01,123000,Auburn Gresham
186,2015-07-01,78250,Auburn Gresham
187,2015-08-01,129000,Auburn Gresham
188,2015-09-01,137000,Auburn Gresham
189,2015-10-01,137500,Auburn Gresham
190,2015-11-01,118000,Auburn Gresham
191,2015-12-01,125000,Auburn Gresham
192,2016-01-01,99000,Auburn Gresham
193,2016-02-01,139500,Auburn Gresham
194,2016-03-01,100000,Auburn Gresham
195,2016-04-01,135000,Auburn Gresham
196,2016-05-01,105000,Auburn Gresham
197,2016-06-01,147500,Auburn Gresham
198,2016-07-01,139000,Auburn Gresham
199,2016-08-01,139000,Auburn Gresham
200,2016-09-01,136000,Auburn Gresham
201,2016-10-01,124000,Auburn Gresham
202,2016-11-01,144000,Auburn Gresham
203,2016-12-01,146000,Auburn Gresham
204,2017-01-01,150000,Auburn Gresham
144,2012-01-01,60000,Austin
145,2012-02-01,60250,Austin
146,2012-03-01,51500,Austin
147,2012-04-01,50750,Austin
148,2012-05-01,49500,Austin
149,2012-06-01,50000,Austin
150,2012-07-01,50500,Austin
151,2012-08-01,62000,Austin
152,2012-09-01,62500,Austin
153,2012-10-01,64250,Austin
154,2012-11-01,52500,Austin
155,2012-12-01,48000,Austin
156,2013-01-01,50000,Austin
157,2013-02-01,61000,Austin
158,2013-03-01,55000,Austin
159,2013-04-01,55000,Austin
160,2013-05-01,87250,Austin
161,2013-06-01,89500,Austin
162,2013-07-01,76500,Austin
163,2013-08-01,62000,Austin
164,2013-09-01,64500,Austin
165,2013-10-01,102250,Austin
166,2013-11-01,94500,Austin
167,2013-12-01,79000,Austin
168,2014-01-01,60000,Austin
169,2014-02-01,48250,Austin
170,2014-03-01,62000,Austin
171,2014-04-01,59299,Austin
172,2014-05-01,68500,Austin
173,2014-06-01,66500,Austin
174,2014-07-01,82500,Austin
175,2014-08-01,80000,Austin
176,2014-09-01,86500,Austin
177,2014-10-01,77000,Austin
178,2014-11-01,94500,Austin
179,2014-12-01,94500,Austin
180,2015-01-01,82000,Austin
181,2015-02-01,81000,Austin
182,2015-03-01,70000,Austin
183,2015-04-01,71000,Austin
184,2015-05-01,70500,Austin
185,2015-06-01,90000,Austin
186,2015-07-01,100500,Austin
187,2015-08-01,124500,Austin
188,2015-09-01,122500,Austin
189,2015-10-01,125000,Austin
190,2015-11-01,105000,Austin
191,2015-12-01,125000,Austin
192,2016-01-01,104500,Austin
193,2016-02-01,100000,Austin
194,2016-03-01,90000,Austin
195,2016-04-01,90000,Austin
196,2016-05-01,100000,Austin
197,2016-06-01,100000,Austin
198,2016-07-01,112000,Austin
199,2016-08-01,112500,Austin
200,2016-09-01,127500,Austin
201,2016-10-01,127500,Austin
202,2016-11-01,125000,Austin
203,2016-12-01,82500,Austin
204,2017-01-01,96000,Austin
144,2012-01-01,116000,Avalon Park
145,2012-02-01,87500,Avalon Park
146,2012-03-01,75000,Avalon Park
147,2012-04-01,48750,Avalon Park
148,2012-05-01,75000,Avalon Park
149,2012-06-01,121000,Avalon Park
150,2012-07-01,130000,Avalon Park
151,2012-08-01,155750,Avalon Park
152,2012-09-01,155000,Avalon Park
153,2012-10-01,128000,Avalon Park
154,2012-11-01,60000,Avalon Park
155,2012-12-01,56000,Avalon Park
156,2013-01-01,62000,Avalon Park
157,2013-02-01,95000,Avalon Park
158,2013-03-01,95000,Avalon Park
159,2013-04-01,85000,Avalon Park
160,2013-05-01,133000,Avalon Park
161,2013-06-01,133000,Avalon Park
162,2013-07-01,139500,Avalon Park
163,2013-08-01,105000,Avalon Park
164,2013-09-01,105000,Avalon Park
165,2013-10-01,56000,Avalon Park
166,2013-11-01,86000,Avalon Park
167,2013-12-01,70000,Avalon Park
168,2014-01-01,70000,Avalon Park
169,2014-02-01,83500,Avalon Park
170,2014-03-01,147250,Avalon Park
171,2014-04-01,146500,Avalon Park
172,2014-05-01,133000,Avalon Park
173,2014-06-01,118000,Avalon Park
174,2014-07-01,144000,Avalon Park
175,2014-08-01,155250,Avalon Park
176,2014-09-01,144000,Avalon Park
177,2014-10-01,123500,Avalon Park
178,2014-11-01,127750,Avalon Park
179,2014-12-01,114500,Avalon Park
180,2015-01-01,150000,Avalon Park
181,2015-02-01,153000,Avalon Park
182,2015-03-01,151500,Avalon Park
183,2015-04-01,122500,Avalon Park
184,2015-05-01,101000,Avalon Park
185,2015-06-01,79750,Avalon Park
186,2015-07-01,79750,Avalon Park
187,2015-08-01,68700,Avalon Park
188,2015-09-01,105500,Avalon Park
189,2015-10-01,105500,Avalon Park
190,2015-11-01,144500,Avalon Park
191,2015-12-01,156000,Avalon Park
192,2016-01-01,182000,Avalon Park
193,2016-02-01,169000,Avalon Park
194,2016-03-01,169000,Avalon Park
195,2016-04-01,149000,Avalon Park
196,2016-05-01,168000,Avalon Park
197,2016-06-01,187750,Avalon Park
198,2016-07-01,176750,Avalon Park
199,2016-08-01,161000,Avalon Park
200,2016-09-01,139000,Avalon Park
201,2016-10-01,155000,Avalon Park
202,2016-11-01,165000,Avalon Park
203,2016-12-01,175000,Avalon Park
204,2017-01-01,175000,Avalon Park
144,2012-01-01,190000,Avondale
145,2012-02-01,160000,Avondale
146,2012-03-01,117000,Avondale
147,2012-04-01,140000,Avondale
148,2012-05-01,180000,Avondale
149,2012-06-01,195000,Avondale
150,2012-07-01,169500,Avondale
151,2012-08-01,170000,Avondale
152,2012-09-01,173500,Avondale
153,2012-10-01,195000,Avondale
154,2012-11-01,185000,Avondale
155,2012-12-01,190000,Avondale
156,2013-01-01,179000,Avondale
157,2013-02-01,148500,Avondale
158,2013-03-01,142750,Avondale
159,2013-04-01,155000,Avondale
160,2013-05-01,190000,Avondale
161,2013-06-01,210000,Avondale
162,2013-07-01,260000,Avondale
163,2013-08-01,282000,Avondale
164,2013-09-01,265000,Avondale
165,2013-10-01,253000,Avondale
166,2013-11-01,237500,Avondale
167,2013-12-01,230000,Avondale
168,2014-01-01,252000,Avondale
169,2014-02-01,243500,Avondale
170,2014-03-01,250000,Avondale
171,2014-04-01,250550,Avondale
172,2014-05-01,229000,Avondale
173,2014-06-01,260000,Avondale
174,2014-07-01,251500,Avondale
175,2014-08-01,320000,Avondale
176,2014-09-01,339000,Avondale
177,2014-10-01,395000,Avondale
178,2014-11-01,334000,Avondale
179,2014-12-01,310000,Avondale
180,2015-01-01,282000,Avondale
181,2015-02-01,283500,Avondale
182,2015-03-01,245000,Avondale
183,2015-04-01,257500,Avondale
184,2015-05-01,295250,Avondale
185,2015-06-01,317000,Avondale
186,2015-07-01,305000,Avondale
187,2015-08-01,278750,Avondale
188,2015-09-01,312250,Avondale
189,2015-10-01,320000,Avondale
190,2015-11-01,317500,Avondale
191,2015-12-01,268000,Avondale
192,2016-01-01,270000,Avondale
193,2016-02-01,285000,Avondale
194,2016-03-01,279000,Avondale
195,2016-04-01,274750,Avondale
196,2016-05-01,250000,Avondale
197,2016-06-01,280000,Avondale
198,2016-07-01,341250,Avondale
199,2016-08-01,366250,Avondale
200,2016-09-01,366000,Avondale
201,2016-10-01,320500,Avondale
202,2016-11-01,334500,Avondale
203,2016-12-01,335000,Avondale
204,2017-01-01,376500,Avondale
144,2012-01-01,116000,Belmont Cragin
145,2012-02-01,125000,Belmont Cragin
146,2012-03-01,134500,Belmont Cragin
147,2012-04-01,140000,Belmont Cragin
148,2012-05-01,135000,Belmont Cragin
149,2012-06-01,117750,Belmont Cragin
150,2012-07-01,120000,Belmont Cragin
151,2012-08-01,115500,Belmont Cragin
152,2012-09-01,123000,Belmont Cragin
153,2012-10-01,130000,Belmont Cragin
154,2012-11-01,131000,Belmont Cragin
155,2012-12-01,134500,Belmont Cragin
156,2013-01-01,133000,Belmont Cragin
157,2013-02-01,128250,Belmont Cragin
158,2013-03-01,125000,Belmont Cragin
159,2013-04-01,120000,Belmont Cragin
160,2013-05-01,130500,Belmont Cragin
161,2013-06-01,131500,Belmont Cragin
162,2013-07-01,126000,Belmont Cragin
163,2013-08-01,130000,Belmont Cragin
164,2013-09-01,138000,Belmont Cragin
165,2013-10-01,155500,Belmont Cragin
166,2013-11-01,144149,Belmont Cragin
167,2013-12-01,148000,Belmont Cragin
168,2014-01-01,132500,Belmont Cragin
169,2014-02-01,160000,Belmont Cragin
170,2014-03-01,160000,Belmont Cragin
171,2014-04-01,160000,Belmont Cragin
172,2014-05-01,145000,Belmont Cragin
173,2014-06-01,148000,Belmont Cragin
174,2014-07-01,149500,Belmont Cragin
175,2014-08-01,170000,Belmont Cragin
176,2014-09-01,172500,Belmont Cragin
177,2014-10-01,192250,Belmont Cragin
178,2014-11-01,187500,Belmont Cragin
179,2014-12-01,179500,Belmont Cragin
180,2015-01-01,175000,Belmont Cragin
181,2015-02-01,178500,Belmont Cragin
182,2015-03-01,188250,Belmont Cragin
183,2015-04-01,197500,Belmont Cragin
184,2015-05-01,175000,Belmont Cragin
185,2015-06-01,177500,Belmont Cragin
186,2015-07-01,180000,Belmont Cragin
187,2015-08-01,192500,Belmont Cragin
188,2015-09-01,200000,Belmont Cragin
189,2015-10-01,201000,Belmont Cragin
190,2015-11-01,199000,Belmont Cragin
191,2015-12-01,195000,Belmont Cragin
192,2016-01-01,180000,Belmont Cragin
193,2016-02-01,191000,Belmont Cragin
194,2016-03-01,195500,Belmont Cragin
195,2016-04-01,213500,Belmont Cragin
196,2016-05-01,210000,Belmont Cragin
197,2016-06-01,210000,Belmont Cragin
198,2016-07-01,230000,Belmont Cragin
199,2016-08-01,230000,Belmont Cragin
200,2016-09-01,237000,Belmont Cragin
201,2016-10-01,235000,Belmont Cragin
202,2016-11-01,237750,Belmont Cragin
203,2016-12-01,220000,Belmont Cragin
204,2017-01-01,225000,Belmont Cragin
144,2012-01-01,228000,Beverly
145,2012-02-01,224250,Beverly
146,2012-03-01,211250,Beverly
147,2012-04-01,230000,Beverly
148,2012-05-01,227500,Beverly
149,2012-06-01,201000,Beverly
150,2012-07-01,240000,Beverly
151,2012-08-01,265000,Beverly
152,2012-09-01,250000,Beverly
153,2012-10-01,236500,Beverly
154,2012-11-01,230000,Beverly
155,2012-12-01,230000,Beverly
156,2013-01-01,232500,Beverly
157,2013-02-01,244500,Beverly
158,2013-03-01,231250,Beverly
159,2013-04-01,228000,Beverly
160,2013-05-01,227000,Beverly
161,2013-06-01,228000,Beverly
162,2013-07-01,234000,Beverly
163,2013-08-01,264000,Beverly
164,2013-09-01,295000,Beverly
165,2013-10-01,286000,Beverly
166,2013-11-01,270000,Beverly
167,2013-12-01,245000,Beverly
168,2014-01-01,240000,Beverly
169,2014-02-01,239000,Beverly
170,2014-03-01,244000,Beverly
171,2014-04-01,265000,Beverly
172,2014-05-01,271000,Beverly
173,2014-06-01,300250,Beverly
174,2014-07-01,292000,Beverly
175,2014-08-01,315000,Beverly
176,2014-09-01,317500,Beverly
177,2014-10-01,320000,Beverly
178,2014-11-01,300000,Beverly
179,2014-12-01,300000,Beverly
180,2015-01-01,286000,Beverly
181,2015-02-01,292000,Beverly
182,2015-03-01,299000,Beverly
183,2015-04-01,224500,Beverly
184,2015-05-01,240000,Beverly
185,2015-06-01,243000,Beverly
186,2015-07-01,313000,Beverly
187,2015-08-01,318750,Beverly
188,2015-09-01,314500,Beverly
189,2015-10-01,314500,Beverly
190,2015-11-01,305000,Beverly
191,2015-12-01,300000,Beverly
192,2016-01-01,300000,Beverly
193,2016-02-01,285000,Beverly
194,2016-03-01,258750,Beverly
195,2016-04-01,240000,Beverly
196,2016-05-01,240000,Beverly
197,2016-06-01,272750,Beverly
198,2016-07-01,280000,Beverly
199,2016-08-01,295000,Beverly
200,2016-09-01,297250,Beverly
201,2016-10-01,290000,Beverly
